X_real,X_imag,Y_real,Y_imag
2.90603070562441,2.79067726055533,-3.13524019139736,-3.19362805182336
-3.10908644847386,2.8334663536529,2.88260868046582,2.72756200305966
-1.22587984635016,-3.22772608846846,-3.14086188109506,-3.09482956953542
-3.09340418754061,0.895867446031021,0.884069327334821,0.82137988186884
2.93526648397915,-1.19060717092146,-3.24977463078511,-3.10138530022788
-1.21127999278915,-1.15951244259236,-3.05116559120447,3.01438780432066
-1.07102559434245,-1.12520353197157,0.842369357342391,2.85173784264695
0.795123562902562,-1.15818655288997,-3.17903249344775,-3.13481134877373
-3.19008096339264,-1.16880647622338,-1.1992113535038,-3.15243375705197
-1.08402862078278,2.89595206704982,2.83219490515777,-1.14944830379172
2.82018061654639,2.84638556848987,2.92685178400728,0.908121810232655
-3.18057862129713,-1.26147324484986,-3.28892606497452,0.720549010246704
-1.23502750515843,-1.21132350429339,0.825758973320808,0.850326414198718
2.86527280238553,2.9017800160354,0.923277492912654,-3.22134999457167
-3.14764248764451,-1.2211410171875,2.78848404513265,2.86035910613077
0.710294316544978,0.848441340263561,-3.17955869103137,-1.17220703104732
-1.21133048907662,-3.22115610161964,2.78066706471987,0.806985289095239
2.82030802198319,-1.13971777976789,0.8037708667039,2.83369397140987
0.768473995709391,0.784611710180348,0.828193176268889,-1.10651599135834
-1.14165951959231,0.8261018161277,2.79361768520669,-1.27381843818176
-3.30280227345357,0.778736518673178,-1.14393416854412,-1.18332567941638
0.876218221833405,0.861108463398622,2.73843154589223,2.84537032791127
-3.33579180371137,-1.07878200023634,2.89655379633427,-1.13516034362139
2.83238330506781,0.916822661048754,0.891242175639661,-3.10702022646494
-1.16820462880853,-1.14103174912599,-1.16515457064417,-1.17744469268801
0.844108562825085,-1.14343757042833,0.865317380197149,-1.07895386894608
-3.1764221960162,0.882783568429736,2.9179228076716,-1.12830034223235
2.94453219040753,-1.17420480478394,-3.12906428541102,-1.10603926532456
-3.11173655893902,-3.09590175366874,-1.18077550655489,-1.23802985738388
3.03684744400678,-1.1672357638053,-3.19400756495943,2.78042338469957
0.872281003572256,-3.07707888586692,-1.28968340905616,2.71331998905997
0.877522518116286,2.91913112887264,-1.23139377771576,2.775085852922
2.80082712771843,2.88531480242402,-1.08992828267878,-3.29483757434276
-1.22728247054226,-3.19952942381189,-3.10050068114743,0.750963286654634
-3.08693855365186,2.81147568425242,-3.21572811013786,-1.19766870526285
2.83531356537686,-3.3026332041669,0.916608694793949,2.87066686195684
0.840036656069925,-1.02233707423525,2.71670109335436,0.824352786703648
2.75881845854163,2.73896918865877,0.741974939528717,0.786144055313358
0.710961723195533,0.835347970054269,-1.2278509902473,-1.22852942323566
-1.16792122826534,2.75693669057946,0.863115036554391,0.838564412277945
-1.2262876313816,2.76676647743093,0.82858651473439,-1.31288143467105
-1.13163044324327,0.819269929106679,0.76869432428129,-1.1538853041943
0.779701651736768,0.678440600165056,0.804529801630563,2.92272389996694
0.804961722698702,-3.14654189426126,0.893852258453065,2.77112776472856
2.80345131652769,0.936382052319515,2.63070179817107,-1.31364406182135
2.73558839670588,0.823161397785155,-3.25668800990693,-3.10730920812275
2.75606284181266,0.878310542719297,2.83872690401584,2.94716573947712
2.70401413453021,2.77690161564568,0.771726777300036,0.676092312229254
2.7775890736225,0.735419185390805,2.71976217040895,-1.25370760902362
2.6982382815235,-1.24569347607646,-1.31036182116389,-1.10893869354192
-3.29451324158225,-3.14308147769295,-3.10689922990648,2.99768530325439
-3.03681773224603,-1.01901546490422,-3.16918749547816,0.774326918204172
0.894707756424734,2.90745567905187,-0.975847705396044,-1.26810548652934
0.798006854594504,0.813438678973604,2.85615754071301,-3.0974932957976
-1.20969621652409,-1.22212052185774,0.683152957057691,2.86851720988019
-1.16026804691022,-1.06946969104242,0.935539700258265,-3.20931817874354
-3.13264691807471,0.84853957366121,0.745775479909258,-1.18615559301007
-1.06346711027919,0.911355060710538,-3.05607637162277,-3.14807293147565
-1.08318619694549,2.86723613536615,-1.23551732027825,2.93244011501094
-1.12841347570826,-1.17542589305173,-0.989561230051223,-3.32678333761894
-1.22312280312054,-1.14167234011759,0.797312993427809,-1.07071653030749
0.898810805521364,0.783574188054524,-3.1344260622608,2.88414984793989
